,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRIM51FP,0,NA,NA,NA,NA,NA
SOD1P1,0,NA,NA,NA,NA,NA
MTND4LP19,0,NA,NA,NA,NA,NA
Z97206.1,0,NA,NA,NA,NA,NA
DHFRP6,0,NA,NA,NA,NA,NA
AL592114.1,0,NA,NA,NA,NA,NA
TYMSP1,0,NA,NA,NA,NA,NA
RNA5SP100,0,NA,NA,NA,NA,NA
MTND4LP20,0,NA,NA,NA,NA,NA
ASS1P1,0,NA,NA,NA,NA,NA
MIR1302-6,0,NA,NA,NA,NA,NA
MIR1229,0,NA,NA,NA,NA,NA
AP000324.1,0,NA,NA,NA,NA,NA
MIR320B2,0,NA,NA,NA,NA,NA
MIR1238,0,NA,NA,NA,NA,NA
MIR1227,0,NA,NA,NA,NA,NA
MIR1295A,0,NA,NA,NA,NA,NA
SNORA81,0,NA,NA,NA,NA,NA
MIR1294,0,NA,NA,NA,NA,NA
MIR548F3,0,NA,NA,NA,NA,NA
RNU4ATAC16P,0,NA,NA,NA,NA,NA
RNU6ATAC31P,0,NA,NA,NA,NA,NA
MIR548F4,0,NA,NA,NA,NA,NA
MIR1301,0,NA,NA,NA,NA,NA
MIR1283-1,0,NA,NA,NA,NA,NA
SNORD88B,0,NA,NA,NA,NA,NA
MIR1265,0,NA,NA,NA,NA,NA
MIR548G,0,NA,NA,NA,NA,NA
MIR663B,0,NA,NA,NA,NA,NA
MIR548T,0,NA,NA,NA,NA,NA
AC025750.2,0,NA,NA,NA,NA,NA
SNORA79,0,NA,NA,NA,NA,NA
MIR548I3,0,NA,NA,NA,NA,NA
MIR1200,0,NA,NA,NA,NA,NA
MIR548Q,0,NA,NA,NA,NA,NA
U3,0,NA,NA,NA,NA,NA
MIR548K,0,NA,NA,NA,NA,NA
RNU6ATAC18P,0,NA,NA,NA,NA,NA
U3,0,NA,NA,NA,NA,NA
MIR548F5,0,NA,NA,NA,NA,NA
MIR1288,0,NA,NA,NA,NA,NA
RNU6ATAC20P,0,NA,NA,NA,NA,NA
MIR1228,0,NA,NA,NA,NA,NA
U3,0,NA,NA,NA,NA,NA
MIR1202,0,NA,NA,NA,NA,NA
SNORA11C,0,NA,NA,NA,NA,NA
U3,0,NA,NA,NA,NA,NA
